2:
2, 3, 3, 3
3, 2, 3, 3, 3
3, 3, 3, 3, 3
3, 3, 3, 3, 2
3, 3, 3, 3, 3
3, 3, 3, 3

5, 7, 8, 7, 9
8, 7,

3, 4, 4
4, 2, 2, 2, 2
2, 2, 2, 3, 3
2, 2, 3, 3, 3
4, 2, 2, 2, 2
2, 2, 3, 3, 3

5, 6, 6, 5, 5
6, 6, 6, 6, 4
5, 6, 6, 6, 6
6, 6, 5, 5, 6
6, 6, 5, 4, 7
