:
8, 10, 9, 9
7, 8, 7, 9, 9
6, 12, 11, 6, 7
10, 9, 9, 8, 9
7, 6, 10, 12, 10
6, 9, 9, 8, 9
13, 7, 9, 10, 10
8, 7,

5, 7, 6
6, 5, 4, 4, 4
6, 4, 4, 6, 5
3, 6, 5, 4, 4
5, 5, 3, 5, 4

13, 14, 14, 15, 15
14, 10, 13, 15, 11
11,

6, 7, 9, 9
8, 8, 9, 7, 7
7, 6, 6, 7, 8
8, 7, 8, 9, 12
11, 9, 8, 6, 9
12, 12, 8, 7, 6
7, 9, 8, 9, 7
8, 8, 8, 7, 7
6, 5, 6, 10, 8
7, 6, 7, 6, 6
