:
5, 5, 4
4, 6, 6, 4
4, 4, 5, 4
4, 4, 5, 6
7, 5, 4, 4
4, 4, 5, 4
4, 4, 4, 6
6, 5, 5, 4
4, 4, 4, 4
5, 6,

5, 5
4, 5, 5, 4
3, 4, 4, 4
4, 4, 5, 4
4, 4, 4, 4
4, 4, 4, 4

8, 10, 8, 8
8, 10, 8, 9
9, 9, 8, 9

7, 8, 7, 7
6, 9, 11, 6
7, 7, 8, 7
8, 12, 10, 8
7, 6, 7, 7
6, 8, 12, 7
6, 9, 7, 7
7, 7, 7, 9
