:21
5
n, n, n, n, n, 5
5, 8, 10, 6, n, n
n, 6, 6, 4, 8, 9
8, n, n, 7, 5, 4
4, 5, 4, 8, 8, 7
4, 4, 5, 6, 5, 6

6, 6, 5, 6, 6
8, 7, 8, 8, 7, 8
9, 9, 4, 3, 4, 4
5, 3, 4, 5, 5

n, n, n, n, 9
8, n, n, n, n, n
n, 11, 10, n, n

5
n, n, n, n, n, 9
11, n, n, n, n, n
5
n, n, n, n, 7
7, 8, 8, 8, 8
8, 8, 10, 12, 11
