2:71
3
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
n, n,

n, n
4
4
4
4
4
4
4
n, n, n, 5
5, n, n, n
4
4
4
4
n, n,

n, n
4
4
4
4
4
4
4
4
4

4
4
4
4
4
4
n, n, n, 5
5, 5, n, 6
5, n, n, n
4
4
4
4
4
4
4
4
4
4
4
4
